device = device(type='cuda', index=2)
Epoch	train_loss	Bth Train Error	test_loss	Bth Test Error	Bth Exp Data Error	time
222	0.001589	0.0240	0.001703	0.0255	15.4826	241.74
223	0.001551	0.0240	0.001510	0.0295	14.2640	241.75
224	0.001517	0.0238	0.001419	0.0255	15.5065	242.22
225	0.001534	0.0237	0.001373	0.0215	22.1853	242.61
226	0.001510	0.0236	0.001498	0.0252	17.7313	241.86
227	0.001498	0.0235	0.001511	0.0259	16.6162	242.24
228	0.001516	0.0241	0.001569	0.0304	16.1654	242.40
229	0.001596	0.0237	0.001363	0.0207	13.2355	242.13
230	0.001500	0.0238	0.001466	0.0228	12.1330	241.97
231	0.001509	0.0236	0.001403	0.0264	17.6101	242.12
232	0.001534	0.0232	0.001588	0.0244	13.4560	242.21
233	0.001512	0.0235	0.001454	0.0214	13.8399	242.30
234	0.001555	0.0239	0.001400	0.0202	12.0077	241.96
235	0.001539	0.0238	0.001431	0.0283	10.5570	242.00
236	0.001494	0.0236	0.001533	0.0283	15.8138	241.95
237	0.001556	0.0233	0.001607	0.0314	22.0542	241.90
238	0.001524	0.0236	0.001399	0.0212	24.5126	242.05
239	0.001526	0.0236	0.001498	0.0229	10.8558	242.30
240	0.001543	0.0237	0.001628	0.0212	16.8170	242.15
241	0.001505	0.0233	0.001405	0.0225	13.8260	242.18
242	0.001492	0.0233	0.001696	0.0270	12.9206	241.75
243	0.001489	0.0234	0.002427	0.0263	14.0643	242.58
244	0.001524	0.0234	0.001531	0.0232	12.3073	242.08
245	0.001504	0.0231	0.001500	0.0227	12.0032	242.16
246	0.001565	0.0234	0.001765	0.0235	14.0043	242.31
247	0.001533	0.0233	0.001305	0.0195	11.8738	242.54
248	0.001550	0.0239	0.001641	0.0299	11.7948	242.10
249	0.001601	0.0238	0.001584	0.0234	10.8297	242.01
250	0.001538	0.0236	0.001466	0.0238	12.5244	241.92
251	0.001513	0.0235	0.001472	0.0241	17.1745	242.07
252	0.001462	0.0230	0.001479	0.0216	13.2402	241.91
253	0.001520	0.0231	0.001478	0.0198	13.3776	242.07
254	0.001617	0.0240	0.001623	0.0233	13.5599	242.14
255	0.001485	0.0231	0.001427	0.0236	11.8417	242.30
256	0.001490	0.0229	0.001438	0.0242	13.2565	242.31
257	0.001525	0.0233	0.001536	0.0241	14.3965	242.22
258	0.001467	0.0227	0.001754	0.0237	11.5252	242.11
259	0.001512	0.0234	0.001362	0.0218	12.4699	242.62
260	0.001517	0.0233	0.001490	0.0199	11.2307	242.41
261	0.001515	0.0235	0.001502	0.0205	11.1082	241.64
262	0.001496	0.0232	0.001452	0.0209	14.5196	241.87
263	0.001541	0.0234	0.001832	0.0257	9.5976	241.93
264	0.001563	0.0240	0.001636	0.0259	10.5950	242.39
265	0.001511	0.0233	0.001414	0.0207	13.5468	242.64
266	0.001556	0.0236	0.001548	0.0210	10.1882	243.11
267	0.001511	0.0232	0.001606	0.0253	19.2323	242.17
268	0.001523	0.0233	0.001517	0.0207	12.8205	242.36
269	0.001495	0.0230	0.001452	0.0282	15.1563	241.94
270	0.001501	0.0232	0.001457	0.0254	12.1789	242.37
271	0.001525	0.0236	0.001431	0.0231	11.4463	242.25
272	0.001444	0.0229	0.001472	0.0224	13.9583	242.30
273	0.001472	0.0231	0.002267	0.0327	18.5460	241.91
274	0.001478	0.0232	0.001456	0.0207	12.8426	242.73
275	0.001458	0.0229	0.001389	0.0222	9.9909	241.82
276	0.001489	0.0234	0.001329	0.0212	13.4572	242.53
277	0.001466	0.0227	0.001413	0.0236	10.1911	242.31
278	0.001525	0.0230	0.001363	0.0211	15.4619	242.96
279	0.001471	0.0233	0.001349	0.0213	13.7317	242.70
280	0.001518	0.0231	0.001375	0.0221	15.1515	242.18
281	0.001605	0.0232	0.001644	0.0277	10.2732	242.41
282	0.001487	0.0234	0.001532	0.0262	14.8113	242.57
283	0.001549	0.0236	0.001352	0.0212	14.6476	242.33
284	0.001473	0.0229	0.001597	0.0224	17.4700	242.84
285	0.001460	0.0226	0.001367	0.0206	14.1343	242.26
286	0.001453	0.0232	0.001430	0.0227	12.9522	242.28
287	0.001526	0.0232	0.001443	0.0221	14.9508	242.22
288	0.001502	0.0232	0.001577	0.0223	14.6387	242.34
289	0.001505	0.0230	0.001666	0.0212	13.8787	242.10
290	0.001491	0.0232	0.001409	0.0257	12.8200	242.79
291	0.001407	0.0226	0.001526	0.0256	14.6378	242.44
292	0.001490	0.0229	0.001443	0.0204	11.8732	242.65
293	0.001506	0.0232	0.001307	0.0200	11.3524	242.30
294	0.001453	0.0227	0.001438	0.0235	13.1694	242.53
295	0.001499	0.0229	0.001395	0.0199	12.9365	242.54
296	0.001493	0.0229	0.001443	0.0229	10.3562	242.12
297	0.001456	0.0226	0.001420	0.0218	12.5373	241.93
298	0.001502	0.0232	0.001305	0.0209	15.7775	242.50
299	0.001549	0.0229	0.001516	0.0215	10.0539	242.36
epoch_best_accuracy = 296
epoch_best_loss = 248
