Bth-Train-True,Bth-Train-Pred,Nw-min,Nw-max,Num-Nw
0.43602288,0.43738914,5608.916015625,83039.078125,0.0
0.6057277,0.6508113,5608.916015625,83039.078125,0.0
0.54332876,0.5031928,5608.916015625,83039.078125,0.0
0.30756176,0.31917012,5608.916015625,83039.078125,0.0
0.38149196,0.39032418,5608.916015625,83039.078125,0.0
0.3896438,0.40461087,5608.916015625,83039.078125,0.0
0.334885,0.338216,5608.916015625,83039.078125,0.0
0.22423188,0.24217312,5608.916015625,83039.078125,0.0
0.23557533,0.25154185,5608.916015625,83039.078125,0.0
0.23537959,0.23863816,5608.916015625,83039.078125,0.0
0.27195,0.27538466,5608.916015625,83039.078125,0.0
0.39763552,0.4034011,5608.916015625,83039.078125,0.0
0.23963377,0.24675348,5608.916015625,83039.078125,0.0
0.23608674,0.23720089,5608.916015625,83039.078125,0.0
0.56564844,0.55869246,5608.916015625,83039.078125,0.0
0.24889183,0.25411677,5608.916015625,83039.078125,0.0
0.23999225,0.24590264,5608.916015625,83039.078125,0.0
0.2321699,0.21650724,5608.916015625,83039.078125,0.0
0.29984385,0.3113166,5608.916015625,83039.078125,0.0
0.5725682,0.57993567,5608.916015625,83039.078125,0.0
0.36303306,0.34765226,2147.0322265625,64812.5625,0.0
0.35872594,0.3466379,2147.0322265625,64812.5625,0.0
0.6907353,0.664953,2147.0322265625,64812.5625,0.0
0.23549387,0.21311769,2147.0322265625,64812.5625,0.0
0.28710935,0.2759709,2147.0322265625,64812.5625,0.0
0.29508585,0.28434727,2147.0322265625,64812.5625,0.0
0.29928038,0.2786628,2147.0322265625,64812.5625,0.0
0.33352414,0.3256986,2147.0322265625,64812.5625,0.0
0.39732277,0.4045037,2147.0322265625,64812.5625,0.0
0.28970408,0.30296513,2147.0322265625,64812.5625,0.0
0.47240013,0.46197462,2147.0322265625,64812.5625,0.0
0.34594613,0.32366183,2147.0322265625,64812.5625,0.0
0.49396554,0.48021033,2147.0322265625,64812.5625,0.0
0.55903095,0.528374,2147.0322265625,64812.5625,0.0
0.24329537,0.26416594,2147.0322265625,64812.5625,0.0
0.5020473,0.5386416,2147.0322265625,64812.5625,0.0
0.4261648,0.4474214,2147.0322265625,64812.5625,0.0
0.38655055,0.38023046,2147.0322265625,64812.5625,0.0
0.34681463,0.3474161,2147.0322265625,64812.5625,0.0
0.25400004,0.24662091,2147.0322265625,64812.5625,0.0
0.42968482,0.41792542,2147.0322265625,64812.5625,0.0
0.29647923,0.27841043,2147.0322265625,64812.5625,0.0
0.28710413,0.2896154,2147.0322265625,64812.5625,0.0
0.31408572,0.31099775,2147.0322265625,64812.5625,0.0
0.2767052,0.2521493,2147.0322265625,64812.5625,0.0
0.54145634,0.6462325,2147.0322265625,64812.5625,0.0
0.31915724,0.31814453,2147.0322265625,64812.5625,0.0
