Bg-Train-True,Bg-Train-Pred,Nw-min,Nw-max,Num-Nw
0.74155873,0.73656106,2356.119384765625,62835.67578125,4.0
0.40530068,0.4050681,15113.7490234375,23319.166015625,2.0
1.2534989,1.2520757,64812.5625,88346.296875,5.0
1.2385333,1.2329698,21918.31640625,49043.66796875,6.0
1.5341878,1.5277307,80506.25,80506.25,1.0
0.420847,0.41883296,324.4970703125,57259.49609375,6.0
0.90550053,0.9075998,8134.18212890625,62835.67578125,5.0
0.5095117,0.50884527,703.936767578125,73361.9453125,11.0
1.337145,1.3388495,57259.49609375,85651.5859375,4.0
0.89389396,0.8905649,6967.056640625,93992.7109375,7.0
1.5244639,1.5145587,43328.265625,88346.296875,9.0
1.2117734,1.2036073,49043.66796875,96949.8359375,6.0
0.6579629,0.660152,4244.26708984375,26395.181640625,10.0
0.5224327,0.5241947,821.8606567382812,13352.4375,3.0
0.80046546,0.80804825,4377.796875,57259.49609375,7.0
0.9902905,0.99474335,10103.7900390625,62835.67578125,9.0
1.0936096,1.0972159,13772.521484375,96949.8359375,7.0
1.5280615,1.5279142,55512.98828125,93992.7109375,9.0
1.1501738,1.1518558,19973.236328125,38278.91796875,3.0
0.79179704,0.7954746,3989.301513671875,68954.8828125,8.0
0.47068018,0.4720813,602.9329833984375,64812.5625,7.0
0.4609084,0.46323693,6548.52490234375,6548.52490234375,1.0
0.67916286,0.6811513,1728.4951171875,73361.9453125,12.0
1.4617519,1.4578145,60919.08203125,85651.5859375,3.0
1.2459279,1.2401536,96949.8359375,96949.8359375,1.0
0.59162235,0.59136784,39483.21875,39483.21875,1.0
0.5799004,0.5783255,2214.58056640625,71124.2890625,6.0
1.0036621,1.0103093,10421.66796875,64812.5625,7.0
0.7388551,0.74684155,3749.652587890625,68954.8828125,8.0
0.7035181,0.70297396,1956.4998779296875,64812.5625,7.0
0.3640161,0.36396098,286.6811218261719,78050.6796875,12.0
1.4650377,1.4642938,37111.34765625,85651.5859375,8.0
0.7112942,0.7135902,2506.70458984375,75670.0078125,10.0
0.6185303,0.6187366,4114.81005859375,73361.9453125,6.0
0.44278988,0.444414,485.39874267578125,85651.5859375,12.0
1.171792,1.1652462,22607.892578125,22607.892578125,1.0
0.65989494,0.6597625,2018.0538330078125,21918.31640625,6.0
1.4209005,1.4205233,43328.265625,71124.2890625,5.0
1.0505469,1.0556076,10421.66796875,68954.8828125,11.0
0.42862958,0.42596227,456.23944091796875,456.23944091796875,1.0
1.1407945,1.1473334,18773.384765625,57259.49609375,8.0
0.43240184,0.43427044,602.9329833984375,85651.5859375,9.0
0.75463533,0.7604979,2585.568603515625,78050.6796875,7.0
1.4675522,1.4663318,49043.66796875,83039.078125,5.0
0.80276966,0.8050716,4955.26953125,80506.25,7.0
0.87842697,0.878663,8926.32421875,85651.5859375,4.0
0.6514342,0.65532553,1896.823486328125,75670.0078125,12.0
0.41117567,0.4132476,930.2718505859375,52178.1640625,4.0
0.71476626,0.71539485,2750.818115234375,52178.1640625,7.0
0.6496684,0.654999,2430.245849609375,80506.25,8.0
0.85421205,0.859305,4955.26953125,57259.49609375,6.0
0.50932187,0.5112288,641.4678344726562,44691.42578125,6.0
0.4889605,0.48823863,532.6689453125,35979.390625,8.0
1.0966136,1.102076,11436.57421875,83039.078125,9.0
0.8359171,0.8391744,29876.955078125,73361.9453125,8.0
0.46221888,0.46019498,428.8318176269531,21249.771484375,8.0
0.9955914,1.001169,16079.703125,91125.78125,11.0
0.7788521,0.78102994,3211.636962890625,47547.7578125,6.0
0.42308453,0.42397928,748.9269409179688,42006.68359375,6.0
0.8593885,0.8672235,5608.916015625,64812.5625,4.0
1.2109249,1.2199187,21918.31640625,83039.078125,10.0
1.517049,1.5155743,93992.7109375,93992.7109375,1.0
1.0201321,1.0204202,11796.3837890625,11796.3837890625,1.0
1.1194861,1.1195825,18200.767578125,75670.0078125,2.0
1.3490217,1.3434331,53819.75390625,73361.9453125,2.0
0.9303819,0.9432609,9795.607421875,68954.8828125,5.0
1.2017467,1.2072101,18200.767578125,88346.296875,10.0
1.0048285,1.0078464,71124.2890625,91125.78125,4.0
0.9160456,0.9184705,7412.3369140625,85651.5859375,8.0
1.2223046,1.2239875,19364.01953125,64812.5625,5.0
1.1785946,1.1836118,55512.98828125,96949.8359375,7.0
1.0750136,1.0788218,12550.3173828125,24809.546875,5.0
1.1564035,1.1570215,15113.7490234375,83039.078125,11.0
1.0935242,1.0966134,55512.98828125,91125.78125,9.0
1.2772787,1.2825239,21918.31640625,78050.6796875,2.0
1.528345,1.524258,55512.98828125,96949.8359375,6.0
1.067344,1.0670133,11436.57421875,96949.8359375,3.0
0.55231714,0.5524223,847.7174682617188,62835.67578125,9.0
0.85234725,0.85817254,8926.32421875,91125.78125,10.0
1.2718731,1.2762575,24052.81640625,25590.0859375,2.0
0.37143046,0.3731182,2926.62939453125,68954.8828125,9.0
1.1878452,1.1948236,17645.61328125,78050.6796875,9.0
1.2303212,1.2414839,17645.61328125,88346.296875,9.0
0.37991056,0.38060474,180.1380157470703,88346.296875,12.0
0.7276419,0.73240244,4515.52783203125,62835.67578125,5.0
0.48479846,0.48323894,901.8970336914062,4804.12548828125,3.0
0.59144807,0.5950072,2506.70458984375,80506.25,2.0
0.77269185,0.775617,2926.62939453125,49043.66796875,6.0
0.77206945,0.77616066,5271.97216796875,27225.607421875,6.0
1.0018718,1.0104308,96949.8359375,96949.8359375,1.0
1.5143403,1.5186244,57259.49609375,96949.8359375,4.0
0.91447234,0.9228127,11436.57421875,62835.67578125,3.0
0.901484,0.903795,6754.5498046875,26395.181640625,3.0
0.64253205,0.64663464,2081.544189453125,2081.544189453125,1.0
1.0330462,1.0374231,13352.4375,85651.5859375,9.0
0.8040139,0.8047191,3989.301513671875,31786.458984375,10.0
0.7395514,0.7423118,4377.796875,93992.7109375,8.0
1.2665097,1.2716055,20601.619140625,52178.1640625,6.0
0.7865505,0.78885126,5111.16845703125,78050.6796875,9.0
0.61652744,0.6187571,1624.659423828125,73361.9453125,11.0
0.360384,0.35972112,180.1380157470703,18773.384765625,4.0
0.98717874,0.98706317,7412.3369140625,68954.8828125,10.0
0.6062307,0.6062539,2666.913818359375,55512.98828125,5.0
0.8134855,0.8171848,3635.281982421875,73361.9453125,12.0
1.1274247,1.1293409,25590.0859375,91125.78125,9.0
0.70261216,0.7048024,3018.70458984375,20601.619140625,6.0
0.75817204,0.76047105,12550.3173828125,88346.296875,12.0
0.89994234,0.9016334,6348.78466796875,80506.25,12.0
0.86097324,0.86820894,6967.056640625,53819.75390625,3.0
0.36152434,0.36796355,238.05735778808594,88346.296875,5.0
0.3818811,0.3898824,661.6492309570312,80506.25,3.0
1.2564602,1.2624564,68954.8828125,85651.5859375,4.0
0.8452357,0.850911,6155.13623046875,83039.078125,10.0
0.6957861,0.69947094,3018.70458984375,53819.75390625,3.0
1.3185091,1.3217704,52178.1640625,96949.8359375,6.0
0.6709163,0.67249703,3211.636962890625,78050.6796875,10.0
1.333797,1.3392003,50586.64453125,75670.0078125,8.0
0.8286252,0.8321079,5785.37939453125,43328.265625,9.0
1.1010444,1.1030703,14652.7548828125,96949.8359375,8.0
0.79474497,0.79570353,3312.67919921875,85651.5859375,5.0
0.48237345,0.48729825,1191.8818359375,78050.6796875,4.0
