device = device(type='cuda', index=0)
Epoch	train_loss	Bg Train Error	test_loss	Bg Test Error	Bg Exp Data Error	time
154	0.000020	0.0043	0.000017	0.0037	3.7145	354.78
155	0.000061	0.0047	0.000022	0.0047	3.8079	355.21
156	0.000019	0.0043	0.000016	0.0039	4.1372	354.81
157	0.000020	0.0043	0.000027	0.0054	3.5921	354.48
158	0.000020	0.0043	0.000021	0.0047	3.1354	354.44
159	0.000019	0.0042	0.000020	0.0046	3.7426	354.16
160	0.000019	0.0043	0.000023	0.0045	4.1373	354.50
161	0.000018	0.0041	0.000016	0.0038	3.8449	354.30
162	0.000020	0.0042	0.000019	0.0041	3.7402	354.48
163	0.000019	0.0042	0.000018	0.0042	4.0661	354.79
164	0.000019	0.0043	0.000015	0.0035	3.6787	354.78
165	0.000018	0.0042	0.000016	0.0038	3.5594	354.64
166	0.000018	0.0042	0.000020	0.0044	4.0206	354.88
167	0.000018	0.0041	0.000016	0.0039	3.7999	354.88
168	0.000020	0.0042	0.000018	0.0042	3.8793	354.71
169	0.000019	0.0042	0.000017	0.0038	3.7487	354.36
170	0.000019	0.0041	0.000015	0.0037	4.0499	354.61
171	0.000018	0.0041	0.000016	0.0040	4.0851	354.20
172	0.000018	0.0041	0.000017	0.0039	3.7482	354.55
173	0.000018	0.0041	0.000016	0.0039	4.2090	354.76
174	0.000018	0.0041	0.000016	0.0037	3.8080	354.69
175	0.000017	0.0041	0.000024	0.0045	3.8600	354.43
176	0.000018	0.0041	0.000016	0.0036	3.7889	354.61
177	0.000017	0.0040	0.000040	0.0062	3.8492	354.65
178	0.000018	0.0041	0.000018	0.0041	4.1675	355.05
179	0.000017	0.0040	0.000013	0.0034	3.8743	354.80
180	0.000029	0.0043	0.000017	0.0039	3.5200	354.13
181	0.000017	0.0040	0.000013	0.0038	3.3948	354.66
182	0.000018	0.0041	0.000016	0.0040	4.0153	354.44
183	0.000017	0.0040	0.000019	0.0042	3.4283	354.16
184	0.000017	0.0040	0.000015	0.0035	3.7601	354.51
185	0.000017	0.0039	0.000017	0.0041	3.8295	354.63
186	0.000017	0.0040	0.000015	0.0037	3.7021	354.84
187	0.000017	0.0039	0.000022	0.0048	3.8651	354.49
188	0.000018	0.0040	0.000016	0.0038	4.1021	354.77
189	0.000017	0.0040	0.000016	0.0038	3.9343	354.18
190	0.000017	0.0039	0.000018	0.0041	3.6291	354.42
191	0.000016	0.0039	0.000016	0.0037	3.8380	354.74
192	0.000018	0.0039	0.000014	0.0035	4.0104	354.56
193	0.000034	0.0042	0.000013	0.0034	3.8064	354.66
194	0.000016	0.0039	0.000016	0.0036	3.0179	354.63
195	0.000017	0.0039	0.000014	0.0036	3.8056	354.35
196	0.000017	0.0039	0.000013	0.0034	3.7672	354.79
197	0.000016	0.0039	0.000016	0.0038	4.0121	354.49
198	0.000016	0.0038	0.000015	0.0038	3.7492	354.43
199	0.000017	0.0039	0.000018	0.0044	3.7203	354.69
200	0.000016	0.0038	0.000024	0.0048	3.4368	354.09
201	0.000016	0.0039	0.000014	0.0037	3.3454	354.78
202	0.000016	0.0038	0.000014	0.0036	3.8474	354.46
203	0.000017	0.0038	0.000014	0.0037	3.2599	354.57
204	0.000016	0.0038	0.000022	0.0050	3.7367	354.92
205	0.000017	0.0039	0.000015	0.0036	3.8597	354.83
206	0.000016	0.0038	0.000016	0.0041	3.4714	354.27
207	0.000017	0.0038	0.000029	0.0052	3.6974	354.14
208	0.000016	0.0038	0.000013	0.0033	3.3505	354.55
209	0.000015	0.0038	0.000015	0.0038	3.6124	354.49
210	0.000016	0.0038	0.000017	0.0040	3.4492	354.27
211	0.000015	0.0037	0.000015	0.0038	3.3104	354.56
212	0.000017	0.0038	0.000018	0.0041	3.6317	354.86
213	0.000017	0.0038	0.000017	0.0040	3.4503	354.11
214	0.000016	0.0038	0.000016	0.0040	4.5408	354.45
215	0.000016	0.0038	0.000018	0.0038	3.4145	354.41
216	0.000015	0.0037	0.000013	0.0035	3.4256	354.38
217	0.000016	0.0038	0.000014	0.0036	3.6544	354.76
218	0.000016	0.0038	0.000013	0.0034	3.7757	354.91
219	0.000016	0.0038	0.000013	0.0033	3.6601	354.63
220	0.000016	0.0037	0.000021	0.0047	3.9874	354.76
221	0.000016	0.0037	0.000014	0.0036	3.7833	354.81
222	0.000016	0.0038	0.000014	0.0033	3.8790	354.58
223	0.000016	0.0038	0.000014	0.0035	3.4957	354.64
224	0.000016	0.0038	0.000013	0.0035	3.1752	354.73
225	0.000016	0.0037	0.000018	0.0038	3.3297	354.68
226	0.000015	0.0038	0.000019	0.0040	3.6873	354.42
227	0.000016	0.0038	0.000015	0.0037	3.6465	354.80
228	0.000016	0.0037	0.000015	0.0036	3.1724	354.43
229	0.000015	0.0037	0.000013	0.0032	3.2685	354.89
230	0.000015	0.0037	0.000013	0.0034	3.6463	355.14
231	0.000016	0.0037	0.000016	0.0037	3.6607	355.02
232	0.000015	0.0036	0.000015	0.0036	3.6989	355.17
233	0.000015	0.0037	0.000013	0.0034	3.1328	354.91
234	0.000015	0.0037	0.000014	0.0034	3.0814	355.10
235	0.000016	0.0037	0.000016	0.0038	3.2210	354.72
236	0.000016	0.0037	0.000014	0.0036	3.4807	354.51
237	0.000015	0.0037	0.000016	0.0037	3.1297	354.29
238	0.000015	0.0037	0.000018	0.0042	3.4634	354.88
239	0.000014	0.0036	0.000011	0.0030	3.1811	354.58
240	0.000014	0.0036	0.000012	0.0032	3.0361	354.65
241	0.000015	0.0037	0.000012	0.0032	3.3345	354.69
242	0.000014	0.0036	0.000015	0.0039	3.7917	354.56
243	0.000016	0.0037	0.000014	0.0032	3.4616	354.53
244	0.000016	0.0037	0.000014	0.0034	3.2786	354.58
245	0.000015	0.0037	0.000015	0.0036	3.5896	354.61
246	0.000015	0.0037	0.000015	0.0036	3.7271	354.53
247	0.000016	0.0037	0.000013	0.0034	3.1735	354.96
248	0.000015	0.0036	0.000012	0.0031	3.4080	354.76
249	0.000015	0.0036	0.000013	0.0034	3.7435	354.88
250	0.000016	0.0036	0.000014	0.0035	2.9407	355.11
251	0.000015	0.0036	0.000020	0.0048	3.6923	354.42
252	0.000015	0.0036	0.000011	0.0030	3.7098	354.66
253	0.000015	0.0036	0.000016	0.0035	3.4124	354.40
254	0.000015	0.0036	0.000012	0.0031	2.9733	354.55
255	0.000014	0.0036	0.000013	0.0032	3.6503	354.65
256	0.000015	0.0036	0.000013	0.0031	3.0605	354.47
257	0.000014	0.0036	0.000016	0.0040	3.1248	354.79
258	0.000015	0.0037	0.000018	0.0035	3.3866	354.90
259	0.000016	0.0037	0.000015	0.0034	3.4315	354.67
260	0.000015	0.0037	0.000013	0.0033	3.3393	354.93
261	0.000014	0.0035	0.000017	0.0037	2.9186	354.73
262	0.000014	0.0036	0.000012	0.0033	3.2440	355.06
263	0.000016	0.0036	0.000015	0.0038	2.9850	354.73
264	0.000015	0.0036	0.000011	0.0031	3.3045	355.07
265	0.000014	0.0035	0.000015	0.0040	3.2992	354.82
266	0.000014	0.0036	0.000014	0.0034	3.3558	355.01
267	0.000014	0.0036	0.000015	0.0035	3.3031	354.62
268	0.000014	0.0036	0.000015	0.0039	3.5701	354.71
269	0.000014	0.0035	0.000013	0.0034	3.1069	355.04
270	0.000014	0.0035	0.000014	0.0034	3.2408	355.02
271	0.000015	0.0036	0.000014	0.0032	3.4180	354.88
272	0.000014	0.0035	0.000012	0.0032	3.2706	354.97
273	0.000015	0.0035	0.000016	0.0040	3.2931	354.62
274	0.000014	0.0035	0.000013	0.0037	3.4465	354.61
275	0.000013	0.0035	0.000012	0.0032	3.6656	354.89
276	0.000014	0.0035	0.000012	0.0031	2.9821	355.11
277	0.000014	0.0035	0.000012	0.0032	3.4871	355.17
278	0.000020	0.0037	0.000015	0.0039	3.0521	354.93
279	0.000015	0.0035	0.000012	0.0030	3.6651	355.24
280	0.000014	0.0035	0.000021	0.0045	3.3968	355.08
281	0.000015	0.0036	0.000015	0.0033	3.9627	354.73
282	0.000014	0.0035	0.000012	0.0032	3.3510	355.02
283	0.000014	0.0035	0.000013	0.0034	3.7753	354.90
284	0.000014	0.0035	0.000012	0.0031	3.5357	355.30
285	0.000014	0.0035	0.000014	0.0037	2.8006	355.07
286	0.000014	0.0035	0.000012	0.0033	3.3619	355.04
287	0.000015	0.0036	0.000014	0.0036	3.1569	354.89
288	0.000014	0.0035	0.000014	0.0034	3.2955	354.99
289	0.000014	0.0035	0.000013	0.0033	2.9422	354.81
290	0.000013	0.0034	0.000014	0.0035	3.1150	354.99
291	0.000013	0.0034	0.000012	0.0030	3.5702	355.04
292	0.000014	0.0035	0.000018	0.0045	3.4145	354.83
293	0.000014	0.0035	0.000012	0.0035	3.3320	354.83
294	0.000015	0.0035	0.000012	0.0032	2.7906	354.98
295	0.000013	0.0034	0.000018	0.0042	3.3590	354.95
296	0.000013	0.0034	0.000012	0.0031	3.2984	355.16
297	0.000013	0.0034	0.000014	0.0033	3.1663	354.93
298	0.000015	0.0035	0.000015	0.0034	2.9430	355.41
299	0.000014	0.0035	0.000012	0.0034	3.1403	354.73
epoch_best_accuracy = 292
epoch_best_loss = 240
