ID,Polymer,Solvent,group,Bg,Bth,Pe,phi,Nw,eta_sp,eta_sp_131,eta_sp_2,subgroup,l
194,polystyrene,toluene,9,0.74,0.42,4.4,0.015580682,490.3846154,20.71,9.803198261,173.9683861,5,0.255
195,polystyrene,toluene,9,0.74,0.42,4.4,0.024635246,490.3846154,74.63,19.3940547,250.7626196,5,0.255
196,polystyrene,toluene,9,0.74,0.42,4.4,0.002010263,1538.461538,2.15,4.732880453,345.8167764,5,0.255
197,polystyrene,toluene,9,0.74,0.42,4.4,0.002850372,1538.461538,3.57,4.975792665,285.6133391,5,0.255
198,polystyrene,toluene,9,0.74,0.42,4.4,0.004710615,1538.461538,8.14,5.878245165,238.4418816,5,0.255
199,polystyrene,toluene,9,0.74,0.42,4.4,0.008101058,1538.461538,20.59,7.312746403,203.9323953,5,0.255
200,polystyrene,toluene,9,0.74,0.42,4.4,0.010216334,1538.461538,38.22,10.01933155,238.0202319,5,0.255
201,polystyrene,toluene,9,0.74,0.42,4.4,0.000344796,17019.23077,1.84,3.680141525,909.3968763,5,0.255
202,polystyrene,toluene,9,0.74,0.42,4.4,0.000368667,17019.23077,2.14,3.92110123,925.1354363,5,0.255
203,polystyrene,toluene,9,0.74,0.42,4.4,0.000641852,17019.23077,4.81,4.265355972,686.0177483,5,0.255
204,polystyrene,toluene,9,0.74,0.42,4.4,0.001320835,17019.23077,16.96,5.848018488,571.2007695,5,0.255
205,polystyrene,toluene,9,0.74,0.42,4.4,0.002318093,17019.23077,63.81,10.5373261,697.729534,5,0.255
206,poly(methyl methacrylate),C4mim bis(trifluoromethylsulfonyl)imide,10,0.62,0.38,12.55502896,0.000500264,3061,1.28775,8.798083048,1681.007791,6,0.255
207,poly(methyl methacrylate),C4mim bis(trifluoromethylsulfonyl)imide,10,0.62,0.38,12.55502896,0.00100552,3061,2.45651,6.730193824,793.7318003,6,0.255
208,poly(methyl methacrylate),C4mim bis(trifluoromethylsulfonyl)imide,10,0.62,0.38,12.55502896,0.002009043,3061,5.36092,5.936012446,433.9078753,6,0.255
209,poly(methyl methacrylate),C4mim bis(trifluoromethylsulfonyl)imide,10,0.62,0.38,12.55502896,0.003003579,3061,9.8219,6.424683451,355.6755896,6,0.255
210,poly(methyl methacrylate),C4mim bis(trifluoromethylsulfonyl)imide,10,0.62,0.38,12.55502896,0.004013094,3061,15.51936,6.947325295,314.8123875,6,0.255
211,poly(methyl methacrylate),C4mim bis(trifluoromethylsulfonyl)imide,10,0.62,0.38,12.55502896,0.005969215,3061,33.86846,9.016442826,310.5257911,6,0.255
212,poly(methyl methacrylate),C4mim bis(trifluoromethylsulfonyl)imide,10,0.62,0.38,12.55502896,0.00701168,3061,54.23968,11.69656629,360.4206073,6,0.255
213,poly(methyl methacrylate),C4mim bis(trifluoromethylsulfonyl)imide,10,0.62,0.38,12.55502896,0.008061136,3061,75.92835,13.64142311,381.7228312,6,0.255
214,poly(methyl methacrylate),C4mim bis(trifluoromethylsulfonyl)imide,10,0.62,0.38,12.55502896,0.00907065,3061,100.72029,15.50607188,399.9234026,6,0.255
215,poly(methyl methacrylate),C4mim bis(trifluoromethylsulfonyl)imide,10,0.62,0.38,12.55502896,0.010098138,3061,148.79137,19.90508417,476.6853557,6,0.255
216,poly(methyl methacrylate),C4mim bis(trifluoromethylsulfonyl)imide,10,0.62,0.38,12.55502896,0.013204566,3061,413.69654,38.95863455,775.1224146,6,0.255
217,poly(methyl methacrylate),C4mim bis(trifluoromethylsulfonyl)imide,10,0.62,0.38,12.55502896,0.015018896,3061,611.14277,48.62714949,885.122394,6,0.255
218,poly(methyl methacrylate),C4mim bis(trifluoromethylsulfonyl)imide,10,0.62,0.38,12.55502896,0.020174308,3061,3513.94126,190.0120338,2820.550462,6,0.255
219,poly(methyl methacrylate),C8mim2 bis(trifluoromethylsulfonyl)imide2,11,0.72,0.41,8.08229989,0.001000527,3061,1.320542,3.641589317,430.9543444,7,0.255
220,poly(methyl methacrylate),C8mim2 bis(trifluoromethylsulfonyl)imide2,11,0.72,0.41,8.08229989,0.002009043,3061,3.082415,3.413080927,249.4878012,7,0.255
221,poly(methyl methacrylate),C8mim2 bis(trifluoromethylsulfonyl)imide2,11,0.72,0.41,8.08229989,0.003003579,3061,5.647386,3.694057909,204.5059861,7,0.255
222,poly(methyl methacrylate),C8mim2 bis(trifluoromethylsulfonyl)imide2,11,0.72,0.41,8.08229989,0.004013094,3061,10.486906,4.694520091,212.7283545,7,0.255
223,poly(methyl methacrylate),C8mim2 bis(trifluoromethylsulfonyl)imide2,11,0.72,0.41,8.08229989,0.005054561,3061,18.453271,6.107450771,235.9625853,7,0.255
224,poly(methyl methacrylate),C8mim2 bis(trifluoromethylsulfonyl)imide2,11,0.72,0.41,8.08229989,0.006033121,3061,22.580081,5.928049993,202.6646928,7,0.255
225,poly(methyl methacrylate),C8mim2 bis(trifluoromethylsulfonyl)imide2,11,0.72,0.41,8.08229989,0.007049625,3061,42.498034,9.100015642,279.3659545,7,0.255
226,poly(methyl methacrylate),C8mim2 bis(trifluoromethylsulfonyl)imide2,11,0.72,0.41,8.08229989,0.008061136,3061,69.916138,12.56125836,351.4969856,7,0.255
227,poly(methyl methacrylate),C8mim2 bis(trifluoromethylsulfonyl)imide2,11,0.72,0.41,8.08229989,0.010044217,3061,129.830673,17.49069468,420.4184871,7,0.255
228,poly(methyl methacrylate),C8mim2 bis(trifluoromethylsulfonyl)imide2,11,0.72,0.41,8.08229989,0.015181656,3061,1102.782636,86.51649383,1563.105519,7,0.255
229,galactomannan - guar gum,water,12,0,0.27,6.5,0.001020271,950,2.14823,18.60591208,2172.331436,8,0.54
230,galactomannan - guar gum,water,12,0,0.27,6.5,0.001730173,950,6.10231,26.47504583,2145.811656,8,0.54
231,galactomannan - guar gum,water,12,0,0.27,6.5,0.003578342,950,39.33446,65.92296007,3233.597015,8,0.54
232,galactomannan - guar gum,water,12,0,0.27,6.5,0.006970206,950,428.21477,299.8575465,9277.838543,8,0.54
233,galactomannan - guar gum,water,12,0,0.27,6.5,0.000851966,1918,3.04664,16.54795928,2188.406571,8,0.54
234,galactomannan - guar gum,water,12,0,0.27,6.5,0.001391651,1918,10.96984,31.34630314,2953.187479,8,0.54
235,galactomannan - guar gum,water,12,0,0.27,6.5,0.002157049,1918,25.84188,41.60902415,2895.712768,8,0.54
236,galactomannan - guar gum,water,12,0,0.27,6.5,0.003160756,1918,73.10223,71.38499437,3815.04865,8,0.54
237,galactomannan - guar gum,water,12,0,0.27,6.5,0.003536662,1918,175.82738,148.2125843,7329.102401,8,0.54
238,galactomannan - guar gum,water,12,0,0.27,6.5,0.00742493,1918,6666.57404,2128.658455,63047.71869,8,0.54
239,galactomannan - guar gum,water,12,0,0.27,6.5,0.010798633,1918,98733.9842,19308.24011,441448.9584,8,0.54
240,galactomannan - guar gum,water,12,0,0.27,6.5,0.000956718,2501,6.12775,21.9301106,2676.821778,8,0.54
241,galactomannan - guar gum,water,12,0,0.27,6.5,0.001252882,2501,9.13519,22.9694603,2326.931256,8,0.54
242,galactomannan - guar gum,water,12,0,0.27,6.5,0.001801799,2501,22.06378,34.48050621,2717.399828,8,0.54
243,galactomannan - guar gum,water,12,0,0.27,6.5,0.002016088,2501,44.93439,60.61695346,4420.24345,8,0.54
244,galactomannan - guar gum,water,12,0,0.27,6.5,0.0034317,2501,78.7855,52.97924343,2674.939565,8,0.54
245,galactomannan - guar gum,water,12,0,0.27,6.5,0.003671055,2501,212.90315,131.0734929,6316.647081,8,0.54
246,galactomannan - guar gum,water,12,0,0.27,6.5,0.006887907,2501,13633.51858,3683.180144,114899.9165,8,0.54
247,galactomannan - guar gum,water,12,0,0.27,6.5,0.010130801,2501,210492.2781,34319.13801,820039.7556,8,0.54
248,galactomannan - guar gum,water,12,0,0.27,6.5,0.000802645,4212,7.05861,18.87563757,2601.260314,8,0.54
249,galactomannan - guar gum,water,12,0,0.27,6.5,0.001107708,4212,15.2373,26.72839853,2948.282341,8,0.54
250,galactomannan - guar gum,water,12,0,0.27,6.5,0.001629226,4212,30.01619,31.77651733,2684.754252,8,0.54
251,galactomannan - guar gum,water,12,0,0.27,6.5,0.002265359,4212,65.33669,44.92946888,3022.697552,8,0.54
252,galactomannan - guar gum,water,12,0,0.27,6.5,0.00276284,4212,155.20072,82.3030988,4827.184509,8,0.54
253,galactomannan - guar gum,water,12,0,0.27,6.5,0.00352448,4212,651.79444,251.3222052,12457.53707,8,0.54
254,galactomannan - guar gum,water,12,0,0.27,6.5,0.007234918,4212,69618.85726,10471.93631,315770.3158,8,0.54
255,galactomannan - guar gum,water,12,0,0.27,6.5,0.009762804,4212,761065.0147,77335.7485,1895763.926,8,0.54
256,galactomannan - guar gum,water,12,0,0.27,6.5,0.000213372,12004,1.13684,6.04181331,2080.168441,8,0.54
257,galactomannan - guar gum,water,12,0,0.27,6.5,0.000241446,12004,1.29869,5.870948706,1855.835508,8,0.54
258,galactomannan - guar gum,water,12,0,0.27,6.5,0.000428267,12004,3.92657,8.383741253,1783.438488,8,0.54
259,galactomannan - guar gum,water,12,0,0.27,6.5,0.000558749,12004,13.17295,19.85759935,3514.985509,8,0.54
260,galactomannan - guar gum,water,12,0,0.27,6.5,0.000742763,12004,29.8916,31.04337321,4513.595668,8,0.54
261,galactomannan - guar gum,water,12,0,0.27,6.5,0.000991084,12004,70.70974,50.34378206,5996.976178,8,0.54
262,galactomannan - guar gum,water,12,0,0.27,6.5,0.00154773,12004,221.02425,87.80583191,7686.409841,8,0.54
263,galactomannan - guar gum,water,12,0,0.27,6.5,0.002152041,12004,2003.75968,517.0743204,36042.80352,8,0.54
264,galactomannan - guar gum,water,12,0,0.27,6.5,0.002426092,12004,3024.69643,667.1938831,42809.6104,8,0.54
265,galactomannan - M. flocculosa,water,13,0.49,0.28,3.3,0.00019455,4778,1.13078,17.03809096,6252.727511,9,0.54
266,galactomannan - M. flocculosa,water,13,0.49,0.28,3.3,0.000275729,4778,1.73802,16.59063523,4784.579033,9,0.54
267,galactomannan - M. flocculosa,water,13,0.49,0.28,3.3,0.001090991,4778,24.693,38.95158506,4341.95557,9,0.54
268,galactomannan - M. flocculosa,water,13,0.49,0.28,3.3,0.001642904,4778,138.3247,127.6851108,10725.78822,9,0.54
269,galactomannan - M. flocculosa,water,13,0.49,0.28,3.3,0.0022057,4778,740.87762,465.0865519,31871.86258,9,0.54
270,galactomannan - M. flocculosa,water,13,0.49,0.28,3.3,0.00275104,4778,2813.53739,1322.666601,77805.93669,9,0.54
271,galactomannan - M. bimucronata,water,14,0.49,0.27,7.2,0.000264416,3405,1.02606,14.51861213,4310.028868,10,0.54
272,galactomannan - M. bimucronata,water,14,0.49,0.27,7.2,0.000316495,3405,1.20047,13.42473906,3519.658183,10,0.54
273,galactomannan - M. bimucronata,water,14,0.49,0.27,7.2,0.000399043,3405,1.81775,15.00873658,3352.568371,10,0.54
274,galactomannan - M. bimucronata,water,14,0.49,0.27,7.2,0.000474543,3405,2.70147,17.77901423,3523.156132,10,0.54
275,galactomannan - M. bimucronata,water,14,0.49,0.27,7.2,0.000528823,3405,3.35544,19.16430961,3523.80356,10,0.54
276,galactomannan - M. bimucronata,water,14,0.49,0.27,7.2,0.001053055,3405,10.03151,23.25758237,2656.727952,10,0.54
277,galactomannan - M. bimucronata,water,14,0.49,0.27,7.2,0.001589214,3405,25.25302,34.16410529,2936.509714,10,0.54
278,galactomannan - M. bimucronata,water,14,0.49,0.27,7.2,0.002115212,3405,88.00036,81.88663239,5776.430192,10,0.54
279,galactomannan - M. bimucronata,water,14,0.49,0.27,7.2,0.002643901,3405,151.87329,105.5331512,6380.781992,10,0.54
280,galactomannan - M. bimucronata,water,14,0.49,0.27,7.2,0.003955614,3405,1570.44628,644.0416385,29476.65228,10,0.54
281,galactomannan - M. aspericarpa,water,15,0.49,0.28,5.8,0.000419696,1934,1.23691,16.83154567,3630.880626,11,0.54
282,galactomannan - M. aspericarpa,water,15,0.49,0.28,5.8,0.000505631,1934,1.55948,16.62942165,3153.958356,11,0.54
283,galactomannan - M. aspericarpa,water,15,0.49,0.28,5.8,0.000563466,1934,1.61887,14.98119488,2636.453247,11,0.54
284,galactomannan - M. aspericarpa,water,15,0.49,0.28,5.8,0.000564689,1934,1.87994,17.34786326,3048.378312,11,0.54
285,galactomannan - M. aspericarpa,water,15,0.49,0.28,5.8,0.001119612,1934,4.87614,18.36947449,2011.335909,11,0.54
