Epoch	Bg_Error	Time
17	0.0076	291.97
18	0.0074	291.79
19	0.0073	292.22
Epoch	Bg_Error	Time
0	0.1161	293.30
1	0.0182	293.26
2	0.0123	293.01
3	0.0115	292.91
4	0.0105	293.19
5	0.0100	292.78
6	0.0093	292.52
7	0.0092	292.80
8	0.0088	292.58
9	0.0085	292.80
10	0.0084	292.59
11	0.0081	292.66
12	0.0081	292.92
13	0.0078	292.76
14	0.0078	292.69
15	0.0077	292.87
16	0.0077	292.82
17	0.0075	292.34
18	0.0076	292.66
19	0.0075	292.24
Epoch	Bg_Error	Time
0	0.3711	291.43
1	0.3648	291.29
2	0.3678	291.10
3	0.3690	291.67
4	0.3683	291.39
5	0.3674	291.16
6	0.3671	291.22
7	0.3684	291.22
8	0.3687	291.44
Epoch	Bg_Error	Time
0	0.2636	292.80
1	0.0187	292.85
2	0.0123	292.63
3	0.0111	292.88
4	0.0100	292.76
5	0.0096	292.22
6	0.0093	292.44
7	0.0091	292.61
8	0.0088	292.37
9	0.0085	292.27
10	0.0083	292.09
11	0.0080	292.33
12	0.0082	292.66
13	0.0079	291.93
14	0.0078	292.25
15	0.0078	292.35
16	0.0078	291.94
17	0.0077	292.06
18	0.0075	292.10
19	0.0075	291.97
Epoch	Bg_Error	Time
0	0.2147	293.11
1	0.0207	293.34
2	0.0156	293.70
3	0.0139	293.39
4	0.0117	293.40
5	0.0108	293.45
6	0.0101	293.53
7	0.0098	293.81
8	0.0093	293.72
Epoch	Bg_Error	Time
0	0.3710	290.94
1	0.3689	290.59
2	0.3705	290.65
3	0.3681	290.65
4	0.3672	290.26
5	0.3698	290.90
6	0.3689	290.65
7	0.3689	290.46
8	0.3694	290.95
Epoch	Bg_Error	Time
0	0.1612	292.85
1	0.0168	293.69
2	0.0137	293.03
3	0.0112	293.28
4	0.0104	292.94
5	0.0100	292.76
6	0.0094	293.31
7	0.0093	292.85
8	0.0087	293.02
9	0.0085	292.92
10	0.0082	292.96
11	0.0081	293.24
12	0.0080	293.02
13	0.0079	292.84
14	0.0078	292.98
15	0.0077	292.77
16	0.0076	292.97
17	0.0075	293.06
18	0.0076	292.57
19	0.0076	292.78
Epoch	Bg_Error	Time
0	0.2601	293.31
1	0.0303	293.63
2	0.0180	293.86
3	0.0176	293.79
4	0.0146	294.01
5	0.0130	293.70
6	0.0138	293.74
7	0.0122	293.76
8	0.0121	293.54
Epoch	Bg_Error	Time
0	0.1027	293.17
