device = device(type='cuda', index=1)
Epoch	train_loss	Bth Train Error	test_loss	Bth Test Error	Bth Exp Data Error	time
254	0.000952	0.0152	0.000985	0.0147	14.5704	356.35
255	0.000903	0.0151	0.000886	0.0150	22.0905	356.96
256	0.000917	0.0152	0.000978	0.0156	14.1726	356.45
257	0.000919	0.0152	0.000940	0.0157	22.0764	356.80
258	0.000948	0.0153	0.000903	0.0145	16.5157	356.75
259	0.000918	0.0152	0.000931	0.0147	18.3202	356.87
260	0.000917	0.0153	0.000947	0.0157	15.3129	357.06
261	0.000926	0.0150	0.000957	0.0170	17.8584	356.54
262	0.000933	0.0151	0.000938	0.0144	11.5859	356.70
263	0.000925	0.0151	0.000891	0.0158	14.9097	356.88
264	0.001004	0.0156	0.000889	0.0141	17.7082	356.95
265	0.000920	0.0151	0.000893	0.0148	19.2572	356.88
266	0.000878	0.0148	0.000905	0.0152	14.0270	356.31
267	0.000926	0.0150	0.000956	0.0144	16.7230	356.62
268	0.000913	0.0150	0.000897	0.0143	12.8042	356.85
269	0.000949	0.0154	0.000947	0.0142	17.6977	356.52
270	0.000885	0.0149	0.000926	0.0154	12.9181	356.41
271	0.000946	0.0152	0.000916	0.0196	11.9345	357.01
272	0.000930	0.0153	0.000941	0.0144	12.5333	356.81
273	0.000950	0.0153	0.000936	0.0142	14.6829	356.70
274	0.000906	0.0151	0.000937	0.0144	14.4868	356.71
275	0.000945	0.0157	0.001024	0.0152	11.4090	357.26
276	0.000931	0.0152	0.000924	0.0151	13.9051	357.02
277	0.000897	0.0150	0.000911	0.0144	13.3243	356.93
278	0.000916	0.0151	0.000868	0.0134	13.2261	357.15
279	0.000909	0.0151	0.000869	0.0138	16.9807	356.94
280	0.000955	0.0154	0.000887	0.0170	12.5019	357.18
281	0.000924	0.0151	0.000908	0.0177	14.5447	356.67
282	0.000973	0.0157	0.000949	0.0180	14.7091	356.30
283	0.000969	0.0154	0.000890	0.0141	17.8264	356.96
284	0.000963	0.0154	0.000912	0.0161	10.4814	356.69
285	0.000954	0.0155	0.000904	0.0142	10.1919	356.28
286	0.000888	0.0151	0.000899	0.0140	10.6430	356.52
287	0.000938	0.0153	0.000972	0.0153	13.7524	356.64
288	0.000921	0.0152	0.000896	0.0142	9.7535	356.74
289	0.000937	0.0152	0.001241	0.0154	12.6736	357.15
290	0.000952	0.0154	0.000931	0.0156	10.6841	356.98
291	0.000937	0.0154	0.000869	0.0141	17.4384	356.44
292	0.000927	0.0152	0.000975	0.0148	17.6715	356.27
293	0.000915	0.0151	0.000938	0.0157	12.7904	356.69
294	0.000945	0.0154	0.000990	0.0187	13.2034	356.44
295	0.000929	0.0153	0.000908	0.0155	15.5658	356.50
296	0.000929	0.0155	0.001011	0.0202	12.3952	357.22
297	0.000958	0.0155	0.000924	0.0167	14.4676	357.22
298	0.000928	0.0154	0.001021	0.0150	15.0378	357.56
299	0.000929	0.0153	0.001065	0.0154	17.1682	357.09
epoch_best_accuracy = 279
epoch_best_loss = 192
