Bth-Train-True,Bth-Train-Pred,Nw-min,Nw-max,Num-Nw
0.6908796,0.6978537,4377.796875,75670.0078125,12.0
0.6682204,0.6498151,10103.7900390625,46097.47265625,2.0
0.72067344,0.7525512,16585.58984375,33818.00390625,4.0
0.3500668,0.35134578,2018.0538330078125,80506.25,8.0
0.59272045,0.70677555,5785.37939453125,96949.8359375,11.0
0.41089553,0.3952704,6967.056640625,6967.056640625,1.0
0.27127758,0.27171904,50586.64453125,96949.8359375,8.0
0.36716813,0.36171147,4244.26708984375,66851.6484375,6.0
0.43824142,0.43739104,6548.52490234375,39483.21875,2.0
0.3796391,0.37903854,3312.67919921875,91125.78125,10.0
0.42493492,0.42501122,5608.916015625,53819.75390625,10.0
0.48724264,0.48701334,19973.236328125,37111.34765625,5.0
0.6173775,0.6088142,53819.75390625,53819.75390625,1.0
0.35674953,0.35356236,2284.25390625,88346.296875,2.0
0.35703754,0.35595387,2585.568603515625,33818.00390625,9.0
0.36301947,0.36232436,1956.4998779296875,66851.6484375,11.0
0.52135587,0.55432224,6754.5498046875,78050.6796875,11.0
0.44539097,0.44238725,35979.390625,88346.296875,3.0
0.5303997,0.52911985,3989.301513671875,62835.67578125,11.0
0.27594993,0.2746924,532.6689453125,78050.6796875,5.0
0.42660254,0.42721605,8926.32421875,93992.7109375,12.0
0.3987226,0.3963377,7645.53857421875,85651.5859375,8.0
0.5136562,0.5069564,17645.61328125,93992.7109375,7.0
0.42314184,0.4218359,6754.5498046875,71124.2890625,8.0
0.59766066,0.5958452,34881.9609375,93992.7109375,2.0
0.327489,0.32425952,1052.9833984375,68954.8828125,7.0
0.69351625,0.74976337,12945.166015625,68954.8828125,9.0
0.24616283,0.2369986,37111.34765625,96949.8359375,8.0
0.49264824,0.48787934,25590.0859375,25590.0859375,1.0
0.42567456,0.41326714,930.2718505859375,83039.078125,11.0
0.26170933,0.26080295,403.0706481933594,17107.39453125,6.0
0.80983794,0.79750454,40725.41015625,96949.8359375,11.0
0.35849467,0.3542434,2926.62939453125,14205.822265625,2.0
0.2762365,0.2717995,216.93162536621094,33818.00390625,8.0
0.2666064,0.26465854,549.4274291992188,88346.296875,8.0
0.4796811,0.47561002,16079.703125,80506.25,8.0
0.54398465,0.5473378,8390.09375,91125.78125,10.0
0.6858171,0.684273,38278.91796875,85651.5859375,10.0
0.36758,0.36065707,37111.34765625,80506.25,3.0
0.47204694,0.4693304,17107.39453125,60919.08203125,6.0
0.4012525,0.39986834,4955.26953125,66851.6484375,10.0
0.3329968,0.3312886,1191.8818359375,80506.25,8.0
0.415949,0.41443717,4114.81005859375,91125.78125,8.0
0.4288227,0.42447352,21918.31640625,85651.5859375,10.0
0.26824686,0.2657245,442.3233947753906,35979.390625,6.0
0.24162683,0.2252159,78050.6796875,78050.6796875,1.0
0.30598402,0.301822,989.7276611328125,59060.953125,9.0
0.34141204,0.33996463,1391.546630859375,44691.42578125,7.0
0.3293749,0.32828045,3524.400146484375,85651.5859375,10.0
0.37995082,0.37586918,2926.62939453125,11087.740234375,2.0
0.49815422,0.4935067,17107.39453125,50586.64453125,4.0
0.4132607,0.41140974,4955.26953125,80506.25,10.0
0.7144604,0.75642014,13352.4375,91125.78125,12.0
0.32957524,0.3249296,55512.98828125,96949.8359375,6.0
0.4982201,0.49302328,12945.166015625,83039.078125,11.0
0.48244178,0.47989503,34881.9609375,34881.9609375,1.0
0.3909154,0.38222682,2837.3623046875,62835.67578125,5.0
0.36340585,0.3538433,47547.7578125,78050.6796875,4.0
0.3148783,0.31188717,55512.98828125,96949.8359375,10.0
0.3287483,0.3259325,500.6700134277344,13352.4375,6.0
0.81339586,0.7874913,27225.607421875,88346.296875,7.0
0.4494909,0.44385147,16585.58984375,59060.953125,2.0
0.44973308,0.44643712,17107.39453125,62835.67578125,10.0
0.2930907,0.28952646,748.9269409179688,44691.42578125,6.0
0.43130565,0.430561,7645.53857421875,57259.49609375,4.0
0.62306225,0.61942136,15589.24609375,66851.6484375,4.0
0.51808274,0.5067525,4657.591796875,11436.57421875,3.0
0.30512345,0.30207366,60919.08203125,83039.078125,4.0
0.46934092,0.46414024,11796.3837890625,80506.25,10.0
