,Polymer,Solvent,Group,True Bg,Pred Bg,True Bth,Pred Bth,Nw,phi_star,phi_star_star,l,b,v,phi_x,len_y
46,sodium kappa-carrageenan,water,0,0.63,0.6092516183853149,0.39,0.4188440144062042,1298.0,0.0009459064991730172,0.030775793106689084,0.99,5.643266599752299,1.5705966877107063,0.030735406099653872,0.2839642845177005
47,hydroxypropyl cellulose,water,0,0.5,0.5339890718460083,0.0,0.35437196493148804,465.0,0.0013952854057682374,0.015770208190465634,0.54,4.300065257659467,0.3443695388496803,0.08847602954359222,0.27463897080106586
48,hydroxypropyl cellulose,water,0,0.49,0.470611035823822,0.0,0.3355828523635864,1703.0,0.0003542732247159914,0.012682329851516117,0.54,4.79506211746966,0.6100098505505879,0.027934396034782174,0.43626973985436984
49,hydroxypropyl cellulose,water,0,0.51,0.5002824068069458,0.0,0.36210545897483826,6361.0,0.00015550784010064675,0.01719254970322983,0.54,4.118353441965777,0.5285201222408286,0.009045071428319484,0.44009900994939577
50,hydroxyethyl cellulose,water,0,0.0,0.44908660650253296,0.23,0.24083927273750305,1963.0,0.00031529840333405874,0.0033644124265967148,0.54,9.309774155648832,0.32695160439205206,0.09371574092448592,0.12043613437611753
51,xanthan gum,water,0,0.41,0.39429527521133423,0.0,0.21170715987682343,8047.0,6.361511872163069e-05,0.002008825367130614,1.08,24.09642772268537,3.8769029499274508,0.031667819295062904,0.13793826370313486
52,apple pectin,water,0,0.78,0.7516800165176392,0.43,0.5017151236534119,2380.0,0.0011178775095803163,0.06336198439966303,0.54,2.1452572319389733,0.12537757348969306,0.017642716214965347,0.20042549554917224
53,apple pectin,water,0,0.75,0.7591787576675415,0.42,0.4236237704753876,2400.0,0.0011443286058623464,0.03220485034983377,0.54,3.0090757249199105,0.07527897346177195,0.03553280308499409,0.08579323646361554
54,cellulose tris(phenyl carbamate),tetrahydrofuran,0,0.46,0.45869290828704834,0.0,0.2821127772331238,112.0,0.0026239980486778137,0.006334189110534455,0.54,6.784974927689559,0.4430832613113554,0.41425950550068286,0.2239492317048249
55,cellulose tris(phenyl carbamate),tetrahydrofuran,0,0.46,0.45869290828704834,0.0,0.2821127772331238,150.0,0.00209909626146326,0.006334189110534455,0.54,6.784974927689559,0.4430832613113554,0.3313914732940687,0.2239492317048249
56,cellulose tris(phenyl carbamate),tetrahydrofuran,0,0.46,0.45869290828704834,0.0,0.2821127772331238,289.0,0.0012718623903632887,0.006334189110534455,0.54,6.784974927689559,0.4430832613113554,0.20079324569707607,0.2239492317048249
57,cellulose tris(phenyl carbamate),tetrahydrofuran,0,0.46,0.45869290828704834,0.0,0.2821127772331238,447.0,0.0009114463905059467,0.006334189110534455,0.54,6.784974927689559,0.4430832613113554,0.14389314474209663,0.2239492317048249
58,cellulose tris(phenyl carbamate),tetrahydrofuran,0,0.46,0.45869290828704834,0.0,0.2821127772331238,866.0,0.0005499236629445247,0.006334189110534455,0.54,6.784974927689559,0.4430832613113554,0.08681832091655442,0.2239492317048249
59,poly(ethylene oxide),1-butyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide,0,1.19,1.1380189657211304,0.0,0.6831942796707153,22318.0,0.0007015778527710343,0.217859692113334,0.338,0.7241495372802026,0.006668014508967475,0.003220319674398799,0.08059996961385452
60,poly(ethylene oxide),1-butyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide,0,1.12,1.1246390342712402,0.0,0.6905155181884766,22318.0,0.0006771218533172182,0.22734937900368052,0.338,0.7088752511075338,0.0073382931316165545,0.0029783316597766316,0.09061327791100912
61,poly(ethylene oxide),1-butyl-3-methylimidazolium hexafluorophosphate,0,1.43,1.1979193687438965,0.65,0.6900728344917297,9000.0,0.0016377269041945813,0.22676693229911318,0.338,0.7097850338296243,0.005117811771572702,0.007222071082367356,0.0631137624007259
62,poly(ethylene oxide),1-butyl-3-methylimidazolium hexafluorophosphate,0,1.43,1.1979193687438965,0.65,0.6900728344917297,22318.0,0.0008182954418338421,0.22676693229911318,0.338,0.7097850338296243,0.005117811771572702,0.0036085307215537182,0.0631137624007259
63,poly(ethylene oxide),1-butyl-3-methylimidazolium hexafluorophosphate,0,1.44,1.2474603652954102,0.65,0.6741747856140137,22318.0,0.000924075889819378,0.20658083231147634,0.338,0.7436553194580608,0.0038189372762119033,0.004473192790830101,0.044950801099053445
64,poly(ethylene oxide),1-butyl-3-methylimidazolium tetrafluoroborate,0,1.53,1.2975692749023438,0.8,0.650092363357544,22318.0,0.0010399657373044708,0.17860773277636996,0.338,0.7997726924938495,0.0027694657155584567,0.005822624368714117,0.03031070384045264
65,poly(ethylene oxide),water,0,1.11,1.0462002754211426,0.0,0.6358925700187683,22318.0,0.0005450945769247424,0.1635064925089444,0.338,0.8358901337024188,0.008871829163416747,0.0033337794026431326,0.09290317806020099
66,cellulose,1-allyl-3-methylimidazolium formate,0,0.0,0.754311740398407,0.44,0.44931110739707947,741.0,0.003332209979512829,0.040755724664204275,0.54,2.674850106644251,0.0914344023872402,0.08176053810765649,0.11722565310550434
